"Rapport de Gestion - Ventes par produits"
Etablissement;"Aloha the poke bar";83967029600012
"Période du";"2018-07-16 06:00:00";au;"2021-07-22 06:00:00"
"Généré le";"2021-07-21 11:53:45"

"Tous les prix sont exprimés en";EUR

Catégorie;Produit;export.report.sales.menu;Type;"TVA (%)";"Coût unitaire";Quantité;"Prix HT théorique";"Total HT théorique";"Marge théorique unitaire";"Marge théorique";"Remises / produit";"Remise / transaction";"Prix unitaire HT";"Total HT";"Marge brut unitaire";"Marge brut";"Taux de marge sur coût variable";"Total TTC"
"DESSERTS VAE";PANACOTTA;"A EMPORTER";;5,50;0,00;508,00;3,32;1685,31;3,32;1685,31;24,50;0,00;3,27;1662,09;3,27;1662,09;1,00;1753,50
"DESSERTS VAE";PANACOTTA;"À la carte";;5,50;0,00;16,00;3,32;53,08;3,32;53,08;0,00;0,00;3,32;53,08;3,32;53,08;1,00;56,00
"DESSERTS VAE";PANACOTTA;"Prix de base";;5,50;0,00;1,00;3,32;3,32;3,32;3,32;0,00;0,00;3,32;3,32;3,32;3,32;1,00;3,50
MENUS;"POKE + BOISSON";"À la carte";;10,00;0,00;1091,00;13,55;14778,09;13,55;14778,09;0,00;0,00;13,55;14778,09;13,55;14778,09;1,00;16255,90
MENUS;"POKE + BOISSON";"SUR PLACE";;10,00;0,00;3463,00;13,34;46199,91;13,34;46199,91;0,00;0,00;13,34;46199,91;13,34;46199,91;1,00;50819,90
MENUS;"POKE + BOISSON";"Prix de base";;10,00;0,00;104,00;13,22;1374,91;13,22;1374,91;0,00;0,00;13,22;1374,91;13,22;1374,91;1,00;1512,40
"MENUS VAE";"POKE + BOISSON";"A EMPORTER";;5,50;0,00;2121,00;13,87;29410,14;13,87;29410,14;0,00;0,00;13,87;29410,14;13,87;29410,14;1,00;31027,70
"MENUS VAE";"POKE + BOISSON";"À la carte";;5,50;0,00;5,00;14,12;70,62;14,12;70,62;0,00;0,00;14,12;70,62;14,12;70,62;1,00;74,50
MENUS;"POKE + BOISSON + DESSERT";"SUR PLACE";;10,00;0,00;1052,00;15,07;15855,64;15,07;15855,64;0,00;0,00;15,07;15855,64;15,07;15855,64;1,00;17441,20
MENUS;"POKE + BOISSON + DESSERT";"Prix de base";;10,00;0,00;42,00;15,03;631,09;15,03;631,09;0,00;0,00;15,03;631,09;15,03;631,09;1,00;694,20
